policy,weight_scheme,weighted_debt,rank_lowest_is_best
role_aware,annotation_informed_exploratory,0.22499722611848869,1
multi_objective,annotation_informed_exploratory,0.44296993705914656,2
random,annotation_informed_exploratory,0.5546577827477487,3
expanding,annotation_informed_exploratory,0.5663619864332565,4
nearest,annotation_informed_exploratory,0.5663619864332565,4
fairness_constrained,annotation_informed_exploratory,0.5806025729927233,6
role_aware,equal_weight,0.1698200989544122,1
multi_objective,equal_weight,0.4201579118828052,2
random,equal_weight,0.5554978825298822,3
expanding,equal_weight,0.5942119932762456,4
nearest,equal_weight,0.5942119932762456,4
fairness_constrained,equal_weight,0.5987602886967576,6
role_aware,new_player_heavy,0.121300070681723,1
multi_objective,new_player_heavy,0.3155071342833576,2
random,new_player_heavy,0.5582277050400932,3
expanding,new_player_heavy,0.6597884888915094,4
nearest,new_player_heavy,0.6597884888915094,4
fairness_constrained,new_player_heavy,0.7134002062119695,6
role_aware,role_heavy,0.15650590117163762,1
fairness_constrained,role_heavy,0.427685920497684,2
random,role_heavy,0.44904251517315025,3
expanding,role_heavy,0.468396080854459,4
nearest,role_heavy,0.468396080854459,4
multi_objective,role_heavy,0.5858270799162895,6
role_aware,smurf_heavy,0.3255382095970753,1
expanding,smurf_heavy,0.4244371380544612,2
nearest,smurf_heavy,0.4244371380544612,2
random,smurf_heavy,0.42681707797415275,4
fairness_constrained,smurf_heavy,0.4506056433408565,5
multi_objective,smurf_heavy,0.5858270799162895,6
role_aware,tail_risk_heavy,0.124456242639902,1
multi_objective,tail_risk_heavy,0.3001127942020037,2
random,tail_risk_heavy,0.6824984875213443,3
expanding,tail_risk_heavy,0.7082868348120518,4
nearest,tail_risk_heavy,0.7082868348120518,4
fairness_constrained,tail_risk_heavy,0.71059950264459,6
