rating,mean,sd,n,se,ci95,ci_low,ci_high,metric,figure,panel,source,interval_type,policy,smurf_ratio
context_aware,325.838127193843,6.587776015779395,10,2.0832376924892233,4.083145877278878,321.7549813165641,329.92127307112185,rating_mae,Figure 3,Rating layer,seed-level full-core summaries,95% CI over seeds,,
drift_aware,353.61664758113886,3.4800851948584026,10,1.1004995667183448,2.1569791507679557,351.4596684303709,355.7736267319068,rating_mae,Figure 3,Rating layer,seed-level full-core summaries,95% CI over seeds,,
dynamic_k,331.60583991942343,7.036390527145909,10,2.2251020572213913,4.361200032153927,327.2446398872695,335.96703995157736,rating_mae,Figure 3,Rating layer,seed-level full-core summaries,95% CI over seeds,,
elo,361.1653334127197,7.12108689409105,10,2.251885400130196,4.413695384255184,356.7516380284645,365.57902879697485,rating_mae,Figure 3,Rating layer,seed-level full-core summaries,95% CI over seeds,,
glicko_like,354.14765243939894,7.964796419466398,10,2.5186897785067686,4.936631965873266,349.21102047352565,359.08428440527223,rating_mae,Figure 3,Rating layer,seed-level full-core summaries,95% CI over seeds,,
,0.5579752519709856,0.04097522544137227,10,0.012957504003361453,0.02539670784658845,0.5325785441243972,0.5833719598175741,fairness_debt_index,Figure 3,Team-formation layer,seed-level full-core summaries,95% CI over seeds,expanding,
,0.5276508068545289,0.041415940490752236,10,0.013096870338876881,0.02566986586419869,0.5019809409903302,0.5533206727187276,fairness_debt_index,Figure 3,Team-formation layer,seed-level full-core summaries,95% CI over seeds,fairness_constrained,
,0.29602791052593963,0.020501911000592735,10,0.006483273514793475,0.01270721608899521,0.2833206944369444,0.30873512661493485,fairness_debt_index,Figure 3,Team-formation layer,seed-level full-core summaries,95% CI over seeds,multi_objective,
,0.5579752519709856,0.04097522544137227,10,0.012957504003361453,0.02539670784658845,0.5325785441243972,0.5833719598175741,fairness_debt_index,Figure 3,Team-formation layer,seed-level full-core summaries,95% CI over seeds,nearest,
,0.5301832385688521,0.04780656065048207,10,0.015117761875450414,0.029630813275882812,0.5005524252929693,0.5598140518447349,fairness_debt_index,Figure 3,Team-formation layer,seed-level full-core summaries,95% CI over seeds,random,
,0.16304230223453542,0.02502989144212491,10,0.007915146654387131,0.015513687442598777,0.14752861479193663,0.1785559896771342,fairness_debt_index,Figure 3,Team-formation layer,seed-level full-core summaries,95% CI over seeds,role_aware,
,0.0,0.0,16,0.0,0.0,0.0,0.0,smurf_victimization,Figure 4,Smurf-ratio stress curve,risk-transfer task cells,95% CI over task cells,multi_objective_with_smurf_exposure_penalty,0.0
,0.0,0.0,16,0.0,0.0,0.0,0.0,smurf_victimization,Figure 4,Smurf-ratio stress curve,risk-transfer task cells,95% CI over task cells,multi_objective_without_smurf_penalty,0.0
,0.0,0.0,16,0.0,0.0,0.0,0.0,smurf_victimization,Figure 4,Smurf-ratio stress curve,risk-transfer task cells,95% CI over task cells,nearest,0.0
,0.0,0.0,16,0.0,0.0,0.0,0.0,smurf_victimization,Figure 4,Smurf-ratio stress curve,risk-transfer task cells,95% CI over task cells,role_aware,0.0
,0.5394097222222222,0.21479777730168642,16,0.053699444325421605,0.10525091087782634,0.4341588113443958,0.6446606331000485,smurf_victimization,Figure 4,Smurf-ratio stress curve,risk-transfer task cells,95% CI over task cells,multi_objective_with_smurf_exposure_penalty,0.02
,0.6890625,0.18770042443019605,16,0.04692510610754901,0.09197320797079606,0.5970892920292039,0.7810357079707961,smurf_victimization,Figure 4,Smurf-ratio stress curve,risk-transfer task cells,95% CI over task cells,multi_objective_without_smurf_penalty,0.02
,0.4232638888888889,0.22777918924585264,16,0.05694479731146316,0.1116118027304678,0.3116520861584211,0.5348756916193567,smurf_victimization,Figure 4,Smurf-ratio stress curve,risk-transfer task cells,95% CI over task cells,nearest,0.02
,0.8060763888888889,0.15078828789892706,16,0.037697071974731766,0.07388626107047426,0.7321901278184146,0.8799626499593631,smurf_victimization,Figure 4,Smurf-ratio stress curve,risk-transfer task cells,95% CI over task cells,role_aware,0.02
,1.2877604166666667,0.1271838236063845,16,0.031795955901596125,0.0623200735671284,1.2254403430995384,1.350080490233795,smurf_victimization,Figure 4,Smurf-ratio stress curve,risk-transfer task cells,95% CI over task cells,multi_objective_with_smurf_exposure_penalty,0.05
